NAMESPACE                 LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
kube-system               2m5s        Normal    Scheduled                 pod/tetragon-qbsfr                                            Successfully assigned kube-system/tetragon-qbsfr to greenops-control-plane
kube-system               2m5s        Normal    SuccessfulCreate          replicaset/tetragon-operator-7c9f964ff5                       Created pod: tetragon-operator-7c9f964ff5-h2r8g
kube-system               2m4s        Normal    Pulling                   pod/tetragon-qbsfr                                            Pulling image "quay.io/cilium/hubble-export-stdout:v1.1.1"
kube-system               2m3s        Normal    Pulling                   pod/tetragon-operator-7c9f964ff5-h2r8g                        Pulling image "quay.io/cilium/tetragon-operator:v1.7.0"
kube-system               2m1s        Normal    Pulled                    pod/tetragon-qbsfr                                            Successfully pulled image "quay.io/cilium/hubble-export-stdout:v1.1.1" in 2.649s (2.649s including waiting). Image size: 1527921 bytes.
kube-system               2m1s        Normal    Pulling                   pod/tetragon-qbsfr                                            Pulling image "quay.io/cilium/tetragon:v1.7.0"
kube-system               2m1s        Normal    Created                   pod/tetragon-qbsfr                                            Container created
kube-system               2m1s        Normal    Started                   pod/tetragon-qbsfr                                            Container started
kube-system               118s        Normal    Created                   pod/tetragon-operator-7c9f964ff5-h2r8g                        Container created
kube-system               118s        Normal    Pulled                    pod/tetragon-operator-7c9f964ff5-h2r8g                        Successfully pulled image "quay.io/cilium/tetragon-operator:v1.7.0" in 3.213s (5.597s including waiting). Image size: 16250700 bytes.
kube-system               117s        Normal    Started                   pod/tetragon-operator-7c9f964ff5-h2r8g                        Container started
kube-system               105s        Normal    Created                   pod/tetragon-qbsfr                                            Container created
kube-system               105s        Normal    Pulled                    pod/tetragon-qbsfr                                            Successfully pulled image "quay.io/cilium/tetragon:v1.7.0" in 12.836s (15.751s including waiting). Image size: 87873656 bytes.
kube-system               105s        Normal    Started                   pod/tetragon-qbsfr                                            Container started
finance                   102s        Normal    Scheduled                 pod/shadow-ai-rogue-8489765678-ddfgg                          Successfully assigned finance/shadow-ai-rogue-8489765678-ddfgg to greenops-control-plane
finance                   102s        Normal    SuccessfulCreate          replicaset/shadow-ai-rogue-8489765678                         Created pod: shadow-ai-rogue-8489765678-ddfgg
finance                   102s        Normal    ScalingReplicaSet         deployment/shadow-ai-rogue                                    Scaled up replica set shadow-ai-rogue-8489765678 from 0 to 1
finance                   99s         Normal    Created                   pod/shadow-ai-rogue-8489765678-ddfgg                          Container created
finance                   99s         Normal    Pulled                    pod/shadow-ai-rogue-8489765678-ddfgg                          Container image "curlimages/curl:8.10.1" already present on machine and can be accessed by the pod
finance                   97s         Normal    Started                   pod/shadow-ai-rogue-8489765678-ddfgg                          Container started
default                   15s         Normal    ReportGenerated           aifinopsreport/ai-report-all                                  Total cost 0.00 EUR over 3 requests
default                   15s         Warning   ShadowAI                  aisovereigntypolicy/regulated-france-policy                   Shadow-AI: finance/rogue-script connected directly to "api.openai.com" (openai) in FORBIDDEN zone US, bypassing the gateway.
