timestamp,env,run_id,attack_id,adversary,scenario,expected,actual,blocked,status,reason,raw_log_path
2026-07-05T23:25:01Z,aks-real-sevsnp,run-16,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-16.log
2026-07-05T23:26:02Z,aks-real-sevsnp,run-17,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-17.log
2026-07-05T23:27:06Z,aks-real-sevsnp,run-17,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-17.log
2026-07-05T23:28:09Z,aks-real-sevsnp,run-17,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-17.log
2026-07-05T23:29:14Z,aks-real-sevsnp,run-17,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-17.log
2026-07-05T23:29:30Z,aks-real-sevsnp,run-17,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-17.log
2026-07-05T23:30:36Z,aks-real-sevsnp,run-18,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-18.log
2026-07-05T23:31:39Z,aks-real-sevsnp,run-18,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-18.log
2026-07-05T23:32:44Z,aks-real-sevsnp,run-18,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-18.log
2026-07-05T23:33:49Z,aks-real-sevsnp,run-18,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-18.log
2026-07-05T23:34:05Z,aks-real-sevsnp,run-18,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-18.log
2026-07-05T23:35:09Z,aks-real-sevsnp,run-19,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-19.log
2026-07-05T23:36:13Z,aks-real-sevsnp,run-19,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-19.log
2026-07-05T23:37:17Z,aks-real-sevsnp,run-19,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-19.log
2026-07-05T23:38:23Z,aks-real-sevsnp,run-19,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-19.log
2026-07-05T23:38:40Z,aks-real-sevsnp,run-19,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-19.log
2026-07-05T23:39:44Z,aks-real-sevsnp,run-20,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-20.log
2026-07-05T23:40:47Z,aks-real-sevsnp,run-20,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-20.log
2026-07-05T23:41:51Z,aks-real-sevsnp,run-20,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-20.log
2026-07-05T23:42:56Z,aks-real-sevsnp,run-20,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-20.log
2026-07-05T23:43:11Z,aks-real-sevsnp,run-20,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-20.log
2026-07-05T23:44:15Z,aks-real-sevsnp,run-21,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-21.log
2026-07-05T23:45:18Z,aks-real-sevsnp,run-21,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-21.log
2026-07-05T23:46:19Z,aks-real-sevsnp,run-21,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-21.log
2026-07-05T23:47:25Z,aks-real-sevsnp,run-21,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-21.log
2026-07-05T23:47:39Z,aks-real-sevsnp,run-21,A9,adversarial-principal,simulated RuntimeClass forbidden in production,BLOCKED,DENIED,yes,EXECUTED,simulated_runtime_denied,article1/results/raw/aks/missing-attacks/A9-run-21.log
2026-07-05T23:48:45Z,aks-real-sevsnp,run-22,A2,adversarial-principal,expired evidence rejected,BLOCKED,PENDING,yes,EXECUTED,expired_evidence_blocked,article1/results/raw/aks/missing-attacks/A2-run-22.log
2026-07-05T23:49:47Z,aks-real-sevsnp,run-22,A3,adversarial-principal,revoked evidence rejected,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_blocked,article1/results/raw/aks/missing-attacks/A3-run-22.log
2026-07-05T23:50:49Z,aks-real-sevsnp,run-22,A6,adversarial-principal,policy modified between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,policy_hash_mismatch_prebind_blocked,article1/results/raw/aks/missing-attacks/A6-run-22.log
2026-07-05T23:51:56Z,aks-real-sevsnp,run-22,A7,adversarial-principal,evidence revoked between Filter and PreBind,BLOCKED,PENDING,yes,EXECUTED,revoked_evidence_prebind_blocked,article1/results/raw/aks/missing-attacks/A7-run-22.log
